iter	Passed	Remaining
825	99435	20946
826	99574	20830
827	99716	20714
828	99850	20596
829	99986	20479
830	100120	20361
831	100251	20243
832	100387	20125
833	100514	20006
834	100623	19883
835	100737	19761
836	100871	19644
837	101006	19526
838	101128	19406
839	101256	19286
840	101388	19168
841	101511	19048
842	101639	18929
843	101755	18807
844	101866	18685
845	101975	18562
846	102083	18440
847	102195	18318
848	102305	18195
849	102416	18073
850	102524	17950
851	102635	17828
852	102748	17706
853	102857	17584
854	102967	17462
855	103076	17339
856	103191	17218
857	103300	17096
858	103408	16973
859	103516	16851
860	103626	16729
861	103735	16607
862	103850	16486
863	103964	16364
864	104076	16243
865	104186	16121
866	104302	16000
867	104410	15878
868	104518	15755
869	104627	15633
870	104735	15511
871	104845	15390
872	104956	15268
873	105068	15147
874	105187	15026
875	105303	14905
876	105424	14785
877	105540	14665
878	105664	14545
879	105779	14424
880	105892	14303
881	106009	14182
882	106121	14061
883	106237	13940
884	106350	13819
885	106461	13698
886	106572	13576
887	106683	13455
888	106796	13334
889	106909	13213
890	107022	13092
891	107134	12971
892	107249	12850
893	107364	12729
894	107478	12609
895	107591	12488
896	107707	12367
897	107819	12246
898	107935	12126
899	108052	12005
900	108180	11886
901	108315	11768
902	108438	11648
903	108563	11528
904	108684	11408
905	108799	11288
906	108914	11167
907	109028	11046
908	109144	10926
909	109257	10805
910	109368	10684
911	109481	10564
912	109598	10443
913	109713	10323
914	109826	10202
915	109937	10081
916	110048	9960
917	110161	9840
918	110278	9719
919	110392	9599
920	110504	9478
921	110555	9352
922	110669	9232
923	110789	9112
924	110904	8992
925	110943	8865
926	111062	8746
927	111180	8626
928	111293	8505
929	111408	8385
930	111526	8265
931	111646	8145
932	111726	8023
933	111841	7903
934	111958	7783
935	112071	7662
936	112184	7542
937	112296	7422
938	112410	7302
939	112534	7183
940	112668	7064
941	112800	6945
942	112937	6826
943	113076	6707
944	113195	6588
945	113324	6468
946	113455	6349
947	113583	6230
948	113714	6111
949	113835	5991
950	113967	5872
951	114088	5752
952	114217	5632
953	114333	5512
954	114454	5393
955	114572	5273
956	114706	5153
957	114831	5034
958	114951	4914
959	115086	4795
960	115204	4675
961	115338	4555
962	115470	4436
963	115595	4316
964	115720	4197
965	115844	4077
966	115959	3957
967	116100	3838
968	116241	3718
969	116392	3599
970	116548	3480
971	116701	3361
972	116838	3242
973	116968	3122
974	117105	3002
975	117238	2882
976	117359	2762
977	117489	2642
978	117619	2522
979	117742	2402
980	117862	2282
981	117986	2162
982	118110	2042
983	118244	1922
984	118369	1802
985	118489	1682
986	118607	1562
987	118729	1442
988	118864	1322
989	118991	1201
990	119123	1081
991	119262	961
992	119402	841
993	119539	721
994	119660	601
995	119798	481
996	119936	360
997	120071	240
998	120183	120
999	120297	0
